id,image_url,lifespan
1,"https://www.catbreedslist.com/uploads/cat-pictures/siamese-1.jpg","10-15"
2,"https://www.catbreedslist.com/uploads/cat-pictures/persian-cat-1.jpg","12-16"
3,"https://www.catbreedslist.com/uploads/cat-pictures/maine-coon-1.jpg","12-15"
4,"https://www.catbreedslist.com/uploads/cat-pictures/bengal-1.jpg","12-16"
5,"https://www.catbreedslist.com/uploads/cat-pictures/ragdoll-1.jpg","12-17"
6,"https://www.catbreedslist.com/uploads/cat-pictures/sphynx-1.jpg","12-15"
7,"https://www.catbreedslist.com/uploads/cat-pictures/abyssinian-1.jpg","9-15"
8,"https://www.catbreedslist.com/uploads/cat-pictures/british-shorthair-1.jpg","12-17"
9,"https://www.catbreedslist.com/uploads/cat-pictures/scottish-fold-1.jpg","11-14"
10,"https://www.catbreedslist.com/uploads/cat-pictures/russian-blue-1.jpg","10-16"